Fcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
112202,咸鸭蛋,10.5,3.7,5.4,1.1,,
113101,鹅蛋,12.9,4.5,7.2,1,,
113103,鹅蛋黄,21.9,7.2,12.6,1.7,,
114101,鹌鹑蛋,9.2,4.1,4.1,1,,
114201,鹌鹑蛋(五香罐头),9.7,3.8,4.5,1.4,,
121101,白条鱼(裸鱼),2.3,1.9,0.1,0.4,,
121102,草鱼[白鲩，草包鱼],3.6,1,1.4,0.9,0.2,0.6
121104,感鱼[猴鱼],3,1.3,1.6,0.1,,
121105,胡子鲇[塘虱(鱼)],5.6,1.8,2.6,0.9,0.7,2.4
121106,黄颡鱼[戈牙鱼，黄鳍鱼],1.9,0.6,1,0.3,2.5,
121107,黄鳝[鳝鱼],1,0.3,0.4,0.2,0.3,0.8
121108,黄鳝丝,0.6,0.1,0.2,0.2,,
121111,鲤鱼[鲤拐子],2.9,0.8,1.3,0.6,1.1,0.5
121112,罗非鱼,1.1,0.5,0.4,0.1,0.2,
121113,罗非鱼(莫桑比克)[非洲黑鲫鱼],0.7,0.2,0.3,0.2,1.3,9.6
121114,泥鳅,1.4,0.4,0.5,0.4,3.7,2.9
121115,青鱼[青皮鱼，青鳞鱼，青混],3.8,1.5,1.3,0.4,,1.1
121116,乌鳢[黑鱼，石斑鱼，生鱼],0.8,0.3,0.2,0.2,2.4,6.3
121117,银鱼[面条鱼],3.6,1,1.1,1.5,13.8,
121118,湟鱼(裸鲤鱼),2.2,1.4,0.5,0.3,,
121119,湟鱼(裸鱼),1.6,0.9,0.5,0.2,,
121120,鲇鱼[胡子鲇，鲢胡，旺虾],2.6,0.8,1.1,0.5,1.7,3.4
121121,鲒花,4.3,0.9,2.8,0.6,,
121122,鲢鱼[白鲢，胖子，连子鱼],2.5,0.8,1,0.5,0.5,
121123,鲫鱼[喜头鱼，海附鱼],1.9,0.5,0.8,0.5,1.6,1.1
121124,鲮鱼[雪鲮],1.5,0.5,0.5,0.4,2.8,7.3
121125,鲮鱼(罐头),18.8,3.4,4.4,10.7,0.4,
121126,鳊鱼[鲂鱼，武昌鱼],4.4,1.2,2,0.8,1.1,1.2
121127,鳗鲡[鳗鱼，河鳗],7.6,2.8,3.1,1.4,2.6,6.2
121128,鳙鱼[胖头鱼，摆佳鱼，花鲢鱼],1.5,0.5,0.6,0.3,3.6,4.2
121129,鳜鱼[桂鱼，花鲫鱼],2.9,0.9,1.2,0.7,,
121201,白姑鱼[白米子(鱼)],5.7,2.1,2.7,0.9,2.3,
121202,参鱼[蓝圆参，边鱼],2.4,0.6,1,0.6,4.1,7.7
121203,带鱼[白带鱼，刀鱼],3.4,1.5,1.3,0.4,1.9,5.3
121204,堤鱼,9,3.7,2.3,2.7,5.2,13.9
121205,丁香鱼(干),2.2,1.2,0.5,0.4,4.1,9.2
121208,海鳗[鲫勾],3.5,1.2,1.4,0.8,3.7,8.3
121209,红娘鱼[翼红娘鱼],2,0.8,0.4,0.7,8.2,20.3
121210,黄姑鱼[黄婆鸡(鱼)],4.9,1.6,2.3,0.8,4.8,7.9
121211,黄鱼(大黄花鱼),1.8,0.7,0.7,0.3,2.7,5.1
121212,黄鱼(小黄花鱼),2.1,0.8,0.8,0.4,4.3,11.2
121213,黄鲂[赤虹，老板鱼],0.4,0.2,0.1,0,2.5,0.3
121214,金线鱼[红三鱼],2,0.9,0.7,0.3,2.4,5.9
121215,绿鳍马面豚[面包鱼，橡皮鱼],0.4,0.2,0.1,0.1,7,22
121216,梅童鱼[大头仔鱼，丁珠鱼],3.5,1.3,1.4,0.7,4.1,10.2
121217,沙丁鱼[沙鲻],1,0.3,0.2,0.3,6.7,9.9
121218,沙钻鱼[多鳞喜，沙梭，麦穗鱼],0.4,0.1,0.1,0.2,9.9,25.4
121219,蛇鲻[沙梭鱼],2.9,1.6,1.2,0.1,,
121220,舌鳎[花纹舌头，舌头鱼],1,0.4,0.4,0.1,,
121221,油抒[香梭鱼],6.3,2.4,2.2,1.4,3.8,9.9
121222,颚针鱼[针量鱼],7.3,1.6,3.5,2.2,,
121223,鲅鱼[马鲛鱼，燕鲅鱼，巴鱼],2.2,0.8,0.8,0.3,2.8,2.6
121224,鲅鱼(咸)[咸马胶],1.1,0.4,0.3,0.3,2.3,18.5
121226,鲈鱼[鲈花],2.4,0.8,0.8,0.6,5.4,4.1
121227,鲐鱼[青鲐鱼，鲐巴鱼，青砖鱼],5.2,2.2,1.7,1.3,4.4,12.7
121228,鲑鱼[大麻哈鱼],7,2,4.3,0.7,,
121230,鲚鱼(大)[大凤尾鱼],5,1.5,2.5,1,,8.4
121231,鲚鱼(小)[小凤尾鱼],4.6,1.2,2,1.3,,15
121232,鲨鱼[真鲨，白斑角鲨],2.2,1,0.7,0.3,2.2,6.6
121233,鲳鱼[平鱼，银鲳，刺鲳],5.1,2.1,2.3,0.5,1.3,0.8
121234,鲷[黑鲷，铜盆鱼，大目鱼],1.8,0.6,0.6,0.4,5.3,11.4
121235,鲻鱼[白眼棱鱼],3.4,0.9,1.4,1,1.3,
121237,鳐鱼[夫鱼],0.5,0.2,0.1,0,,
121238,鳓鱼[快鱼，力鱼],6,2.3,2.8,0.7,2.6,5.6
121239,鳕鱼[鳕狭，明太鱼],0.5,0.1,0.2,0.2,,
121240,鳘鱼,0.6,0.2,0.1,0.3,,
121301,鱼片干,2.4,0.6,0.7,0.8,9.2,22.7
122103,长毛对虾[大虾，白露虾],0.3,0.1,0.1,0,4,2.4
122105,东方对虾[中国对虾],0.4,0.2,0.1,0.1,2.8,2.5
122106,对虾,0.6,0.2,0.1,0.2,6.6,4
122107,海虾,0.4,0.1,0.2,0.1,,
122108,河虾,1.7,0.6,0.9,0.2,,
122109,基围虾,1,0.3,0.3,0.4,10.5,10.2
122110,江虾[沼虾],0.6,0.1,0.3,0.2,,
122111,龙虾,0.8,0.2,0.3,0.2,,
122114,虾虎,1.2,0.3,0.5,0.4,5.5,0.4
122115,虾皮,1.5,0.9,0.5,0.2,6.4,4.1
122116,螯虾,2.7,0.8,1,0.7,,
122201,虾米[海米，虾仁],1.8,0.9,0.5,0.4,5.9,3.1
123001,海蟹,1.6,0.5,0.6,0.5,1.9,3.7
123002,河蟹,1.8,0.5,0.6,0.4,1.9,
123003,踞缘青蟹[青蟹],1.1,0.3,0.3,0.5,16.7,12
123004,梭子蟹,2.2,0.6,0.8,0.6,10,13
123005,蟹肉,0.8,0.3,0.2,0.3,12.2,11.4
124101,鲍鱼[杂色鲍],0.6,0.3,0.1,0.1,4.1,2.4
124103,蛏子,0.2,0.1,0,0.1,10.2,4.7
124104,蛏干[蛏子缢，蛏青子],3.4,2.3,0.3,0.7,10.4,4.9
124105,赤贝,0.4,0.2,0.1,0.1,1.4,3.3
124106,河蚌,0.6,0.1,0.1,0.3,,
124107,河蚬[蚬子],1,0.5,0.3,0.2,3,0.8
124108,牡蛎[海蛎子],1.5,0.5,0.3,0.5,10.4,3.8
124109,生蚝,1.1,0.4,0.2,0.3,8.7,6.9
124112,扇贝(干)[干贝],1.7,0.5,1,0.1,,
124113,鲜贝,0.4,0.2,0.1,0.1,8.6,
124114,银蚶[蚶子],1,0.3,0.2,0.2,9.9,6.4
124115,贻贝(鲜)[淡菜，壳菜],1.2,0.6,0.3,0.2,7.5,5
124201,蛤蜊(均值),0.8,0.2,0.1,0.4,,
124202,花蛤蜊,0.4,0.2,0.1,0.1,5.5,3.3
124203,毛蛤蜊,0.7,0.4,0.2,0.1,,
124302,红螺,0.6,0.2,0.1,0.3,6.6,
124305,石螺,0.5,0.2,0.1,0,,
124307,香海螺,2.5,1,1.2,0.3,,
129004,海蜇皮,0.2,0.1,0.1,0,,
