"Fcode","cmfp","dash","ahei","edible","water","kcal","kj","prot","fat","cho","fiber","sodium","Total","SFA","MUFA","PUFA","EPA","DHA"
142329,0,0,0,100,4.9,467,1954,7,17.7,70.1,0.3,2.2,0,0,0,0,0,0
142330,0,0,0,100,8,435,1820,8.6,14.7,68.1,1,13.6,0,0,0,0,0,0
142331,0,0,0,100,10,332,1389,4.4,0.4,84.3,6.5,103.4,0,0,0,0,0,0
152101,0,0,0,100,6.7,391,1636,8.1,4.1,80.5,0.2,47,0,0,0,0,0,0
152102,0,0,0,100,11.3,351,1469,12.4,7.4,67.3,8.6,20.9,0,0,0,0,0,0
152103,0,0,0,100,9.2,367,1536,15,6.7,66.9,5.3,3.7,0,0,0,0,0,0
152104,0,0,0,100,6.3,390,1632,7.2,3.7,82.3,0.4,1.7,0,0,0,0,0,0
152201,0,0,0,100,3.6,472,1975,9.5,21.1,61.6,0.7,1144,0,0,0,0,0,0
152301,0,0,0,100,27.4,312,1305,8.3,5.1,58.6,0.5,230.4,3.4,0.3,1.8,1.2,0,0
152302,0,0,0,100,30.9,316,1322,8.8,8.4,51.3,0,652.7,0,0,0,0,0,0
152303,0,0,0,100,21.3,375,1569,8.4,14.3,54.6,1.5,352.3,0,0,0,0,0,0
152304,0,0,0,100,28.3,282,1180,10,1.2,58.7,1,478.4,0,0,0,0,0,0
152305,0,0,0,100,31.2,278,1163,8.5,2.1,57,0.8,210.5,0,0,0,0,0,0
152306,0,0,0,100,27.3,329,1377,7.9,8.7,55.6,0.9,14.5,0,0,0,0,0,0
152307,0,0,0,100,19.1,333,1393,9.2,2.8,68.6,0.8,54.9,1.9,0.4,0.8,0.7,0,0
152308,0,0,0,100,38,246,1029,8.5,1,50.9,0.1,457,0,0,0,0,0,0
152309,0,0,0,100,37.7,270,1130,8.3,4.7,48.6,0.1,151,0,0,0,0,0,0
152310,0,0,0,100,36.1,279,1167,8.8,5.6,48.6,0.3,256.4,0,0,0,0,0,0
152311,0,0,0,100,34.1,274,1146,9.2,3.9,51,0.5,526,0,0,0,0,0,0
152312,0,0,0,100,25.1,320,1339,9.5,4.8,59.9,0.3,106.2,0,0,0,0,0,0
152313,0,0,0,100,25.8,328,1372,8.9,7.5,56.6,0.3,236,0,0,0,0,0,0
152401,0,0,0,100,5.7,433,1812,9,12.7,71.7,1.1,204.1,8.5,1.4,1.3,5.8,0,0
152402,0,0,0,100,5.5,572,2393,10.8,39.7,43.2,0.3,113.5,26.6,3.9,9.1,13.7,0,0
152403,0,0,0,100,3.3,444,1858,11,13.3,71.2,1.1,231.1,0,0,0,0,0,0
152404,0,0,0,100,4.1,452,1891,11.8,14.7,68.4,0.4,177.4,0,0,0,0,0,0
152405,0,0,0,100,3.9,447,1870,10.8,12.9,72.1,0.3,107.4,0,0,0,0,0,0
152406,0,0,0,100,3.3,444,1858,8.4,13.2,73.9,0.9,112.2,8.8,0.8,6.5,1.5,0,0
152407,0,0,0,100,3.1,450,1883,7.8,13.9,73.6,0.2,259.3,0,0,0,0,0,0
152408,0,0,0,100,5.6,448,1874,11,16.2,66,1.5,104.7,0,0,0,0,0,0
152409,0,0,0,100,5.4,457,1912,7.9,17.8,67.6,1.2,320.1,0,0,0,0,0,0
152410,0,0,0,100,6.5,429,1795,8.5,13.1,70.2,1,196.4,0,0,0,0,0,0
152411,0,0,0,100,4.3,408,1707,8.1,6.1,80.3,0.2,399,0,0,0,0,0,0
152412,0,0,0,100,1.9,546,2284,6.5,31.6,59.1,0.2,174.6,0,0,0,0,0,0
152413,0,0,0,100,5.7,408,1707,8.4,7.7,76.2,0,312.2,0,0,0,0,0,0
152414,0,0,0,100,10.3,528,2209,5.4,35.2,48,0.5,281.8,0,0,0,0,0,0
153001,0,0,0,100,4.1,392,1640,10.4,2.1,82.9,0.1,30,0,0,0,0,0,0
153002,0,0,0,100,5.6,451,1887,6.8,15.2,72,0.2,5.8,0,0,0,0,0,0
153003,0,0,0,100,4.1,612,2561,4,48.4,41.9,1.9,60.9,0,0,0,0,0,0
153004,0,0,0,100,9.2,416,1741,12.8,13.6,61.7,1.2,109.8,0,0,0,0,0,0
161001,0,12,6,100,93.1,28,117,0.2,0.1,6.5,0,22.7,0,0,0,0,0,0
161002,0,12,6,100,88.7,45,188,0,0,11.2,0,11.4,0,0,0,0,0,0
161003,0,12,6,100,93.8,25,105,0.1,0,6.1,0,5.3,0,0,0,0,0,0
161004,0,12,6,100,94.9,20,84,0,0,5.1,0,8.1,0,0,0,0,0,0
161005,0,12,6,100,90.5,38,159,0,0,9.5,0,3.3,0,0,0,0,0,0
161006,0,12,6,100,87.5,50,209,0,0,12.5,0,4.4,0,0,0,0,0,0
161007,0,12,6,100,89.5,42,176,0,0,10.5,0,5.8,0,0,0,0,0,0
161008,0,12,6,100,88.9,45,188,0,0.1,11,0,5,0,0,0,0,0,0
