Fcode,cmfp,dash,ahei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
35105,,9,3,脑豆,100,10.7,360,1506,23.4,3.8,59.6,1.5,12
35201,,9,3,蚕豆(烤),100,4.3,372,1556,27,2,63.8,2.2,10.9
35202,,9,3,蚕豆(炸)[开花豆],100,10.5,446,1866,26.7,20,40.4,0.5,547.9
39101,,9,3,扁豆,100,9.9,326,1364,25.3,0.4,61.9,6.5,2.3
39102,,9,3,扁豆(白),100,19.4,257,1075,19,1.3,55.6,13.4,1
39201,,9,3,眉豆[饭豇豆],100,12,320,1339,18.6,1.1,65.6,6.6,86.5
39202,,9,3,豇豆,100,10.9,322,1347,19.3,1.2,65.6,7.1,6.8
39203,,9,3,豇豆(紫),100,11.2,315,1318,18.9,0.4,65.8,6.9,4
39301,,9,3,豌豆,100,10.4,313,1310,20.3,1.1,65.8,10.4,9.7
39302,,9,3,豌豆(花),100,11.5,322,1347,21.6,1,63.6,6.9,3.2
39901,,9,3,荆豆,100,9,396,1657,43.6,14.3,28.5,5.2,
39902,,9,3,木豆[扭豆，豆蓉],100,10.7,340,1423,19.8,4.5,58.8,3.7,
41101,2,2,1,白萝卜[莱菔],95,93.4,21,88,0.9,0.1,5,1,61.8
41102,2,2,1,变萝卜[红皮萝卜],94,91.6,27,113,1.2,0.1,6.4,1.2,68
41103,2,2,1,红旦旦萝卜,95,94.4,17,71,0.8,,4.3,0.8,20.1
41104,2,2,1,红萝卜,97,93.8,20,84,1,0.1,4.6,0.8,62.7
41105,2,2,1,红心萝卜,94,88,38,159,1.2,,9.8,1.4,49.1
41106,2,2,1,花叶萝卜,85,86.7,43,180,1.2,0.1,11.5,2.1,47.2
41107,2,2,1,青萝卜,95,91,31,130,1.3,0.2,6.8,0.8,69.9
41108,2,2,1,水萝卜[脆萝卜],93,92.9,20,84,0.8,,5.5,1.4,9.7
41109,2,2,1,小水萝卜[算盘子，红皮萝卜],66,93.9,19,79,1.1,0.2,4.2,1,33.5
41110,2,2,1,心里美萝卜,88,93.5,21,88,0.8,0.2,4.9,0.8,85.4
41201,2,2,1,胡萝卜(红)[金笋，丁香萝卜],96,89.2,37,155,1,0.2,8.8,1.1,71.4
41202,2,2,1,胡萝卜(黄),97,87.4,43,180,1.4,0.2,10.2,1.3,25.1
41203,2,2,1,胡萝卜(脱水),100,10.9,320,1339,4.2,1.9,77.9,6.4,300.7
41301,2,2,1,芥菜头[大头菜，水芥],83,89.6,33,138,1.9,0.2,7.4,1.4,65.6
41302,2,2,1,苤蓝[玉蔓菁，球茎甘蓝],78,90.8,30,126,1.3,0.2,7,1.3,29.8
41401,2,2,1,甜菜根[甜菜头，糖萝卜],90,74.8,75,314,1,0.1,23.5,5.9,20.8
42101,2,2,1,扁豆[月亮菜],91,88.3,37,155,2.7,0.2,8.2,2.1,3.8
42102,2,2,1,蚕豆,31,70.2,104,435,8.8,0.4,19.5,3.1,4
42103,2,2,1,刀豆,92,89,36,151,3.1,0.3,7,1.8,8.5
42104,2,2,1,豆角,96,90,30,126,2.5,0.2,6.7,2.1,3.4
42105,2,2,1,豆角(白),97,89.7,30,126,2.2,0.2,7.4,2.6,9.5
42106,2,2,1,荷兰豆,88,91.9,27,113,2.5,0.3,4.9,1.4,8.8
42107,2,2,1,龙豆,98,90,32,134,3.7,0.5,5,1.9,4.1
42108,2,2,1,龙牙豆[玉豆],93,94.4,17,71,2.6,0.2,2.4,1.3,1.8
42109,2,2,1,毛豆[青豆，菜用大豆],53,69.6,123,515,13.1,5,10.5,4,3.9
42110,2,2,1,四季豆[菜豆],96,91.3,28,117,2,0.4,5.7,1.5,8.6
42111,2,2,1,豌豆(带荚)[回回豆],42,70.2,105,439,7.4,0.3,21.2,3,1.2
42112,2,2,1,豌豆尖,100,42.1,223,933,3.1,,53.9,1.3,3.2
42113,2,2,1,油豆角[多花菜豆],99,92.2,22,92,2.4,0.3,3.9,1.6,3.3
42114,2,2,1,垅船豆,82,90.3,34,142,2,0.4,6.8,1.3,0.9
42115,2,2,1,芸豆,96,91.1,25,105,0.8,0.1,7.4,2.1,4
42116,2,2,1,豇豆,97,90.3,29,121,2.9,0.3,5.9,2.3,2.2
42117,2,2,1,豇豆(长),98,90.8,29,121,2.7,0.2,5.8,1.8,4.6
42201,2,2,1,发芽豆,83,66.1,128,536,12.4,0.7,19.4,1.3,3.9
42202,2,2,1,黄豆芽,100,88.8,44,184,4.5,1.6,4.5,1.5,7.2
42203,2,2,1,绿豆芽,100,94.6,18,75,2.1,0.1,2.9,0.8,4.4
42204,2,2,1,豌豆苗,86,89.6,34,142,4,0.8,4.6,1.9,18.5
43101,2,2,1,茄子(均值),93,93.4,21,88,1.1,0.2,4.9,1.3,5.4
43102,2,2,1,茄子(绿皮),90,92.8,25,105,1,0.6,5.2,1.2,6.8
43103,2,2,1,茄子(圆),95,91.2,28,117,1.6,0.2,6.7,1.7,3.2
43104,2,2,1,茄子(紫皮，长),96,93.1,19,79,1,0.1,5.4,1.9,6.4
43105,2,2,1,番茄[西红柿],97,94.4,19,79,0.9,0.2,4,0.5,5
43106,2,2,1,番茄(整个，罐头),100,93.5,21,88,2,0.6,2.6,0.8,246.9
43107,2,2,1,奶柿子[西红柿],100,95.6,13,54,0.6,0.1,3.2,0.8,8.3
43108,2,2,1,辣椒(红，尖，干),88,14.6,212,887,15,12,52.7,41.7,4
43109,2,2,1,辣椒(红，小),80,88.8,32,134,1.3,0.4,8.9,3.2,2.6
43110,2,2,1,辣椒(青，尖),84,91.9,23,96,1.4,0.3,5.8,2.1,2.2
43111,2,2,1,甜椒[灯笼椒，柿子椒],82,93,22,92,1,0.2,5.4,1.4,3.3
43112,2,2,1,甜椒(脱水),100,10.5,307,1284,7.6,0.4,76.6,8.3,26
43113,2,2,1,葫子,85,92.2,27,113,0.7,0.1,6.8,0.9,1.2
43114,2,2,1,秋葵[黄秋葵，羊角豆],88,86.2,37,155,2,0.1,11,3.9,3.9
43201,2,2,1,白瓜,83,96.2,10,42,0.9,,2.6,0.9,1
43202,2,2,1,菜瓜[生瓜，白瓜],88,95,18,75,0.6,0.2,3.9,0.4,1.6
43203,2,2,1,冬瓜,80,96.6,11,46,0.4,0.2,2.6,0.7,1.8
43204,2,2,1,方瓜,82,95.8,13,54,0.8,,3.1,0.6,4.4
43205,2,2,1,佛手瓜[棒瓜，菜肴梨],100,94.3,16,67,1.2,0.1,3.8,1.2,1
43206,2,2,1,葫芦[长瓜，蒲瓜，瓠瓜],87,95.3,15,63,0.7,0.1,3.5,0.8,0.6
43207,2,2,1,葫芦条(干),100,25.4,219,916,4.3,1.8,64.6,18.1,36.3
43208,2,2,1,黄瓜[胡瓜],92,95.8,15,63,0.8,0.2,2.9,0.5,4.9
43209,2,2,1,节瓜[毛瓜],92,95.6,12,50,0.6,0.1,3.4,1.2,0.2
43210,2,2,1,金瓜,82,95.6,14,59,0.5,0.1,3.4,0.7,0.9
43211,2,2,1,金丝瓜[裸瓣瓜],80,91.7,37,155,3.3,2,2.2,0.8,2
43212,2,2,1,苦瓜[凉瓜，癞瓜],81,93.4,19,79,1,0.1,4.9,1.4,2.5
43213,2,2,1,南瓜[倭瓜，番瓜],85,93.5,22,92,0.7,0.1,5.3,0.8,0.8
43214,2,2,1,南瓜粉,100,6.2,320,1339,7.1,2.1,79.6,11.5,83.6
43215,2,2,1,蛇瓜[蛇豆，大豆角],89,94.1,15,63,1.5,0.1,3.9,2,2.2
43216,2,2,1,丝瓜,83,94.3,20,84,1,0.2,4.2,0.6,2.6
43217,2,2,1,笋瓜[生瓜],91,96.1,12,50,0.5,,3.1,0.7,
43218,2,2,1,西葫芦,73,94.9,18,75,0.8,0.2,3.8,0.6,5
43219,2,2,1,面西胡瓜,88,97,10,42,0.8,,1.8,,0.6
43220,2,2,1,小西胡瓜,79,94.4,22,92,0.7,,4.8,,1.7
44101,2,2,1,大蒜[蒜头],85,66.6,126,527,4.5,0.2,27.6,1.1,19.6
44102,2,2,1,大蒜(脱水),100,7.3,339,1418,13.2,0.3,75.4,4.5,36.8
44103,2,2,1,大蒜(紫皮),89,63.8,136,569,5.2,0.2,29.6,1.2,8.3
44104,2,2,1,青蒜,84,90.4,30,126,2.4,0.3,6.2,1.7,9.3
44105,2,2,1,蒜黄,97,93,21,88,2.5,0.2,3.8,1.4,7.8
44106,2,2,1,蒜苗,82,88.9,37,155,2.1,0.4,8,1.8,5.1
44107,2,2,1,蒜苔,90,81.8,61,255,2,0.1,15.4,2.5,3.8
44201,2,2,1,大葱,82,91,30,126,1.7,0.3,6.5,1.3,4.8
44202,2,2,1,大葱(红皮),68,86.2,46,192,2.4,0.1,10.2,1.3,3.4
44203,2,2,1,分葱[四季葱，菜葱],,91.7,33,138,2.2,0.7,5.1,0.7,7.7
44204,2,2,1,细香葱[香葱，四季葱],,90,37,155,2.5,0.3,7.2,1.1,
44205,2,2,1,小葱,73,92.7,24,100,1.6,0.4,4.9,1.4,10.4
44301,2,2,1,洋葱[葱头],90,89.2,39,163,1.1,0.2,9,0.9,4.4
44302,2,2,1,洋葱(白皮，脱水),100,9.1,330,1381,5.5,0.4,81.9,5.7,31.7
44303,2,2,1,洋葱(紫皮，脱水),100,9.1,324,1356,6.9,0.4,80.6,7.5,77.4
44401,2,2,1,韭菜,90,91.8,26,109,2.4,0.4,4.6,1.4,8.1
44402,2,2,1,韭黄[韭芽],88,93.2,22,92,2.3,0.2,3.9,1.2,6.9
44403,2,2,1,韭苔,85,89.4,33,138,2.2,0.1,7.8,1.9,1
44501,2,2,1,薤[皎头],,81.4,,,,,0.3,0.3,0
44502,2,2,1,薤白[小根蒜，山蒜，团蒜],,68,122,510,3.4,0.4,27.1,0.9,
45101,2,2,1,大白菜(均值),87,94.6,17,71,1.5,0.1,3.2,0.8,57.5
45102,2,2,1,大白菜(白梗)[黄芽白],92,93.6,21,88,1.7,0.2,3.7,0.6,89.3
45103,2,2,1,大白菜(青白口),83,95.1,15,63,1.4,0.1,3,0.9,48.4
45104,2,2,1,大白菜(小白口),85,95.2,14,59,1.3,0.1,2.8,0.9,34.8
45105,2,2,1,白菜(脱水),100,10,286,1197,6.2,0.8,72.9,9.4,492.5
45106,2,2,1,酸白菜[酸菜],100,95.2,14,59,1.1,0.2,2.4,0.5,43.1
45107,2,2,1,小白菜,81,94.5,15,63,1.5,0.3,2.7,1.1,73.5
45108,2,2,1,白菜薹[菜薹，菜心],84,91.3,25,105,2.8,0.5,4,1.7,26
45109,2,2,1,红菜薹[紫菜薹],52,91.1,41,172,2.9,2.5,2.7,0.9,1.5
45110,2,2,1,瓢儿白[瓢儿菜],79,94.1,15,63,1.7,0.2,3.2,1.6,56.9
45111,2,2,1,乌菜[乌塌菜，塌棵菜],89,91.8,25,105,2.6,0.4,4.2,1.4,115.5
45112,2,2,1,油菜,87,92.9,23,96,1.8,0.5,3.8,1.1,55.8
45113,2,2,1,油菜(黑),96,94.1,17,71,1.8,0.2,2.9,0.9,98.8
45114,2,2,1,油菜(脱水),100,9,299,1251,7.6,0.6,74.3,8.6,405.3
45115,2,2,1,油菜(小),95,96,11,46,1.3,0.2,1.6,0.7,53
45116,2,2,1,油菜薹[菜薹],82,92.4,20,84,3.2,0.4,3,2,83.2
45201,2,2,1,甘蓝[圆白菜，卷心菜],86,93.2,22,92,1.5,0.2,4.6,1,27.2
45202,2,2,1,菜花[花椰菜],82,92.4,24,100,2.1,0.2,4.6,1.2,31.6
45203,2,2,1,菜花(脱水)[脱水花椰菜],100,9.8,286,1197,6.5,0.6,76.8,13.2,264.3
45204,2,2,1,西兰花[绿菜花],83,90.3,33,138,4.1,0.6,4.3,1.6,18.8
45205,2,2,1,芥菜[雪里红，雪菜],94,91.5,24,100,2,0.4,4.7,1.6,30.5
45206,2,2,1,芥菜(大叶)[盖菜],71,94.6,14,59,1.8,0.4,2,1.2,29
45207,2,2,1,芥菜(茎用)[青头菜],92,95,7,29,1.3,0.2,2.8,2.8,41.1
45208,2,2,1,芥菜(小叶)[小芥菜],88,92.6,24,100,2.5,0.4,3.6,1,38.9
45209,2,2,1,芥蓝[甘蓝菜，盖蓝菜],78,93.2,19,79,2.8,0.4,2.6,1.6,50.5
45301,2,2,1,菠菜[赤根菜],89,91.2,24,100,2.6,0.3,4.5,1.7,85.2
45302,2,2,1,菠菜(脱水),100,9.2,283,1184,6.4,0.6,75.7,12.7,242
45303,2,2,1,冬寒菜[冬苋菜，冬葵],58,89.6,30,126,3.9,0.4,4.9,2.2,14
