Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
072023,葵花籽（奶油香瓜子）,51.7,9.2,12.5,30.5,,
072024,葵花籽（熟）,46.8,9.3,18.8,18.6,,
072025,南瓜子（熟）[白瓜子],50.5,15.7,16.5,18.2,,
072026,西瓜子（熟）[黑瓜子],44,15,7.7,20.5,,
081121,猪肉（前臀尖，杜长大猪）,23,11.8,10.7,0.4,,
081122,猪肉（前臀尖，良杂猪）,27.7,12.8,13.7,1,,
081123,猪肉（后臀尖，杜长大猪）,8.3,3.4,4.5,0.3,,
081124,猪肉（后臀尖，良杂猪）,9.6,3.9,5,0.6,,
081125,猪肉（硬肋，杜长大猪）,52,23.2,26.1,2.5,,
081126,猪肉（硬肋，良杂猪）,49.5,27,21.7,2.7,,
081127,猪肉（通脊，杜长大猪）,7.1,3.2,3.6,0.3,,
081128,猪肉（通脊，良杂猪）,5.8,2.6,2.9,0.3,,
081129,猪肉（里脊）,,,,,,
081130,猪皮,26.8,10.7,15.2,0.9,,
081131,猪小排（杜长大猪）,23,10.7,11.3,1.1,,
081132,猪小排（良杂猪）,29.8,14.1,14.2,1.3,,
081213,猪肚,2.8,1.8,0.9,0.1,,
081214,猪肝,3.5,2,1.3,0.1,,
081215,猪舌[口条],11.3,5.3,5.3,0.6,,
081216,猪肾[猪腰子],1.3,1,0.3,,,
081318,火腿心全精肉,17.6,6.2,8.9,2.4,,
081319,火腿心肉,44.4,17.8,24.8,1.7,,
081320,腊肉,,,,,,
081321,叉烧肉,8.7,2.1,5.2,1.4,,
081322,酱排骨,25.2,9.3,11.7,4.2,,
081323,香糟块肉,50.4,16.9,24.4,9,,
081324,熏烤小里脊,3.5,2.2,0.9,0.4,,
081325,猪肉脯,7.8,3.4,3.6,0.8,,
081326,肉酥,24,7.7,11.7,4.5,,
081327,猪肉松,9,3.9,4.4,0.7,,
081328,扒猪脸,28,10.2,13.8,2.3,,
081329,酱肘子,,,,,,
081423,脆皮肠,21.4,8.6,10.7,2.1,,
081424,热狗肠,22.4,17.2,4.8,0.4,,
081425,火腿肠,13,7.4,5.2,0.3,,
081426,火腿,3,0.9,1.7,0.4,,
081427,火腿（云南）,,,,,,
081428,三明治火腿,4,2.4,1.6,,,
081429,午餐肉,28.4,10.5,14,3.8,,
082111,牛肉（背部肉）[上脑],11.4,6,5.1,0.2,,
082112,牛肉（里脊肉）[牛柳],4.6,2.3,2,0.2,,
082113,牛肉（臀部肉）[紫盖、白板],2.4,1.1,1.2,0.1,,
082114,牛肉（肩部肉）[肩肉],29,16.5,11.9,0.5,,
082115,牛肉（胸部肉）[牛胸],26.4,14.4,11.4,0.5,,
082116,牛肉（腹部肉）[牛腩],27.9,14.7,13.3,0.3,,
082117,牛肉（膝圆肉）[和尚头],1.6,0.7,0.8,0.1,,
082118,牛肉（股内肉）[针扒、米龙、黄瓜条],2.7,1.5,1.2,0,,
082119,牛肉（小腿肉）[牛展、牛腱子],3,1.6,1.4,0.1,,
082210,牛百叶（黑）,1.5,0.8,0.6,0.2,,
082307,牛肉（酱，五香）,9.5,5.2,3.6,0.6,,
