Fcode,cmfp,dash,hei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
121404,7,,,箭鱼（炸）,100,47.8,271,1133,20.8,16.1,10.7,,403.6
121405,7,,,金枪鱼（盐水浸）,81,74.6,99,422,23.5,0.6,0,,320
121406,7,,,金枪鱼（油浸）,79,63.3,189,794,27.1,9,0,,290
121407,7,,,鲮鱼（豆豉，熟）,100,18.8,472,1973,25.5,33.1,17.9,,1291.7
121408,7,,,鳗鱼（红烧）,100,55.4,211,884,21.3,9.8,9.5,,1252
121409,7,,,鲭鱼（烤，150℃，10分）,100,45.8,412,1724,16.5,37.8,0,,58
121410,7,,,鲭鱼（烤，150℃，20分）,100,45.7,396,1657,19.1,34.8,0,,82
121411,7,,,鲭鱼（烤，150℃，30分）,100,32,536,2243,19.9,50,0,,78.7
121412,7,,,鲭鱼（烤，180℃，10分）,100,47.3,373,1561,20.2,31.8,0,,82
121413,7,,,鲭鱼（烤，210℃，10分）,100,39,472,1975,19,43.4,0,,74
121414,7,,,鲭鱼（炸）,100,28.3,555,2322,17.2,53.4,0.1,,75
121415,7,,,鲭鱼（蒸）,100,47,392,1639,14.6,36.5,0.7,,52.4
121416,7,,,鲭鱼（煮）,100,49.3,375,1569,14.9,34.5,0.4,,51
121417,7,,,沙丁鱼（茄汁，熟）,100,70.4,155,650,13.8,9.8,3,,820.2
121418,7,,,沙丁鱼（盐水浸）,79,66.2,172,721,21.5,9.6,0,,530
121419,7,,,沙丁鱼（油浸）,82,58.6,220,918,23.3,14.1,0,,450
121420,7,,,午餐鱼（香辣味）,100,37.5,383,1601,24.4,30.2,3.3,,1321.2
121421,7,,,鳕鱼（烤）,85,76.6,96,408,21.4,1.2,0,,340
121422,7,,,鳕鱼（炸）,98,55.9,235,983,12.4,14.3,15.6,0.4,480
122203,7,,,虾酱,100,72.3,112,467,10.8,7.6,0,,4584.6
122204,7,,,虾仁（红）,100,87.8,48,202,10.4,0.7,0,,272.1
122301,7,,,虾仁肉丸,100,70,151,632,4.6,7.4,16.7,1.3,429
123006,7,,,海蟹（小）,42,79.2,81,339,14.2,1.1,3.6,,321.5
123301,7,,,蟹足棒,100,67.4,123,514,9,0.6,20.5,,1242
124117,7,,,海蚌[西施舌],47,87.7,42,174,9.5,0.3,0.2,,793
124601,7,,,文蛤丸,100,56.6,209,874,16.2,9.2,15.8,,565
129014,7,,,甲鱼蛋,100,75.2,128,534,12.5,7.3,3,,103.9
129301,7,,,墨鱼圈,100,84.8,72,300,13,2.2,0,,93.7
129302,7,,,墨鱼丸,100,71,128,535,13.4,4.7,8,,825.2
131101,,,,婴儿配方奶粉（爱儿乐，惠氏）,100,,524,2220,12,28,56,,
131102,,,,婴儿配方奶粉（爱儿乐，惠氏，金装）,100,,520,2203,11,28,56,,
131103,,,,婴儿配方奶粉（爱力大1，美赞臣）,100,,448,2043,12.5,22,59,,
131104,,,,婴儿配方奶粉（安婴儿，美赞臣）,100,,528,2210,11,29,56,,
131105,,,,婴儿配方奶粉（安婴儿A+，美赞臣）,100,,528,2210,11,29,56,,
131106,,,,婴儿配方奶粉（安婴乐，美赞臣）,100,,520,2176,11,28,55.6,,
131107,,,,婴儿配方奶粉（吉利蜜1，森永牌）,100,2.7,515,2156,12.6,27,55.5,,
131108,,,,婴儿配方奶粉（可淇牌）,100,4,497,2079,12,25,56,,
131109,,,,婴儿配方奶粉（力多精1，雀巢）,100,3,507,2121,12.5,25.8,56.2,,
131110,,,,婴儿配方奶粉（美素力1）,100,3,510,2130,11.1,27,55,1.9,
131111,,,,婴儿配方奶粉（美素力H）,100,2.8,515,2150,10.8,27,57,,
131112,,,,婴儿配方奶粉（美素力，袋装）,100,2.8,515,2150,10.8,27,57,,
131113,,,,婴儿配方奶粉（圣元牌）,100,,522,2184,12.5,28,55,,
131114,,,,婴儿配方奶粉（完达山牌）,100,4.5,508,2123,13.3,27.5,51.7,,
131115,,,,婴儿奶粉（高钙，圣元牌）,100,,513,2145,12.8,27,54.6,,
131116,,,,婴儿配方豆奶（爱儿素，惠氏）,100,,513,2174,14,27,53.5,,
131201,,,,较大婴儿配方奶粉（爱力大2，美赞臣）,100,,458,1917,16.1,16.8,60,,
